"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"27","Sweden","1,094,287","","14,609","","1,070,016","","9,662","23","107,656","1,437","11,153,755","1,097,305","10,164,680","Europe"
"28","Bangladesh","1,092,411","+8,489","17,669","+204","923,163","+8,820","151,579","1,303","6,565","106","7,215,581","43,365","166,392,351","Asia"
"29","Romania","1,081,588","+49","34,252","+2","1,046,719","+28","617","32","56,616","1,793","10,196,912","533,756","19,104,064","Europe"
"30","Pakistan","986,668","+2,949","22,760","+40","918,329","+1,000","45,579","2,508","4,379","101","15,345,158","68,100","225,333,825","Asia"
"31","Portugal","927,424","+3,677","17,199","+5","860,449","+3,341","49,776","173","91,230","1,692","14,218,981","1,398,712","10,165,771","Europe"
"32","Malaysia","905,851","+12,528","6,866","+138","779,171","+6,629","119,814","908","27,621","209","16,272,826","496,181","32,796,121","Asia"
"33","Israel","850,104","","6,444","","837,394","","6,266","49","91,154","691","15,748,346","1,688,650","9,326,000","Asia"
"34","Japan","834,618","+3,432","15,027","+13","795,388","+1,745","24,203","382","6,620","119","17,458,236","138,477","126,073,556","Asia"
"35","Hungary","808,725","","30,015","","742,632","","36,078","10","83,938","3,115","6,238,275","647,471","9,634,827","Europe"
"36","Jordan","760,550","+389","9,887","+8","742,730","+665","7,933","507","73,781","959","8,210,864","796,532","10,308,266","Asia"
"37","Serbia","718,465","+166","7,080","+2","709,307","+84","2,078","6","82,575","814","4,548,523","522,774","8,700,741","Europe"
"38","Switzerland","707,976","","10,902","","690,364","","6,710","29","81,187","1,250","8,735,091","1,001,690","8,720,352","Europe"
"39","Nepal","665,886","+1,310","9,527","+21","630,407","+2,164","25,952","","22,436","321","3,463,057","116,681","29,679,675","Asia"
"40","UAE","659,449","+1,565","1,896","+4","637,267","+1,508","20,286","","65,850","189","62,457,571","6,236,795","10,014,369","Asia"
"41","Austria","653,412","+411","10,728","","639,422","+70","3,262","36","72,122","1,184","61,529,534","6,791,501","9,059,784","Europe"
"42","Morocco","555,488","+2,853","9,434","+7","530,801","+948","15,253","277","14,867","252","7,174,898","192,025","37,364,443","Africa"
"43","Lebanon","550,004","","7,883","","535,051","","7,070","54","80,959","1,160","4,731,376","696,443","6,793,630","Asia"
"44","Tunisia","533,274","","17,214","","424,786","","91,274","630","44,637","1,441","2,054,125","171,937","11,946,960","Africa"
"45","Saudi Arabia","508,521","+1,098","8,063","+15","489,553","+1,207","10,905","1,386","14,375","228","23,644,943","668,392","35,375,850","Asia"
"46","Kazakhstan","483,412","+5,658","4,909","+45","427,237","+3,241","51,266","221","25,430","258","11,575,012","608,900","19,009,710","Asia"
"47","Ecuador","473,647","","21,899","","437,167","","14,581","427","26,430","1,222","1,600,398","89,304","17,920,774","South America"
"48","Bolivia","460,818","+1,239","17,406","+31","387,979","+1,388","55,433","200","38,927","1,470","1,974,682","166,807","11,838,144","South America"
"49","Greece","455,754","+2,554","12,816","+7","414,538","+1,171","28,400","124","43,949","1,236","11,653,059","1,123,722","10,370,057","Europe"
